"test_year","model","n_train","n_test","p_pos_train","p_pos_test","Accuracy","Precision","Recall","F1","AUC"
2023,"Logistic",3262,251,0.592887798896382,0.681274900398406,0.625498007968127,0.67906976744186,0.853801169590643,0.756476683937824,0.569883040935673
2023,"DecisionTree",3262,251,0.592887798896382,0.681274900398406,0.597609561752988,0.690217391304348,0.742690058479532,0.715492957746479,0.576059941520468
2023,"RandomForest",3262,251,0.592887798896382,0.681274900398406,0.605577689243028,0.691489361702128,0.760233918128655,0.724233983286908,0.538267543859649
2023,"Random",3262,251,0.592887798896382,0.681274900398406,0.526454183266932,0.674869820743004,0.589473684210526,0.62892939866955,0.5
2024,"Logistic",3513,250,0.599202960432679,0.584,0.616,0.607758620689655,0.965753424657534,0.746031746031746,0.63981822971549
2024,"DecisionTree",3513,250,0.599202960432679,0.584,0.656,0.670454545454545,0.808219178082192,0.732919254658385,0.626811116965227
2024,"RandomForest",3513,250,0.599202960432679,0.584,0.648,0.655913978494624,0.835616438356164,0.734939759036144,0.737651475237092
2024,"Random",3513,250,0.599202960432679,0.584,0.51968,0.586244822879423,0.60027397260274,0.592775194356443,0.5
2025,"Logistic",3763,247,0.598192931171938,0.753036437246964,0.700404858299595,0.741379310344828,0.924731182795699,0.822966507177034,0.713026617310065
2025,"DecisionTree",3763,247,0.598192931171938,0.753036437246964,0.54251012145749,0.715976331360947,0.650537634408602,0.68169014084507,0.600520007050943
2025,"RandomForest",3763,247,0.598192931171938,0.753036437246964,0.412955465587045,0.656488549618321,0.462365591397849,0.542586750788643,0.692005993301604
2025,"Random",3763,247,0.598192931171938,0.753036437246964,0.552307692307692,0.754488990085906,0.601182795698925,0.668700393273667,0.5
